,x,y,u (m/s),v (m/s),p (Pa)
0,0.014384495,0.12556933,0.21634571,-0.007332515,0.058402665
1,0,0.13475671,0.22506067,0,0.059376203
2,0,0.11701039,0.20802192,0,0.0574005
3,0.0141945,0.14327203,0.23120655,-0.006636921,0.060402136
4,0,0.15235177,0.238181,0,0.061289806
5,0.014673135,0.10754361,0.19727239,-0.007330837,0.05646735
6,0,0.09892626,0.18672712,0,0.055596113
7,0.012888297,0.013746568,0.032916956,-0.000406167,0.052516088
8,0,0.020158125,0.047683824,0,0.05250081
9,0,0,0,0,0.052521814
10,0.019987524,0,0,0,0.05258146
11,0.014140525,0.16079065,0.2421621,-0.005236344,0.062202748
12,0,0.16985565,0.24750549,0,0.062858075
13,0.014590903,0.030354802,0.07006047,-0.001625107,0.052552607
14,0,0.04031625,0.09043633,0,0.052631292
15,0.015144526,0.050052695,0.10968137,-0.003498546,0.052836053
16,0,0.06047098,0.12825157,0,0.05313067
17,0.015264887,0.06975502,0.14425991,-0.005363266,0.053576354
18,0,0.08014575,0.16041133,0,0.05413434
19,0.014969952,0.08899725,0.17348267,-0.006634488,0.054805744
20,0.039975047,0,0,0,0.052412257
21,0.02986306,0.018219914,0.044948846,-0.001294244,0.052354205
22,0.014132923,0.17830396,0.24945298,-0.003142211,0.063526824
23,0,0.18734443,0.25310853,0,0.06381858
24,0.059962574,0,0,0,0.052076817
25,0.05052991,0.017059596,0.04560874,-0.002178719,0.052077144
26,0.014141102,0.19582012,0.2531969,-0.000617654,0.06413406
27,0,0.2047961,0.25499976,0,0.06400294
28,0.15840122,0.17225938,0,0,0.065454446
29,0.15433289,0.16443428,0.10373374,-0.11853431,0.0558374
30,0.16464466,0.16464466,0,0,0.04431145
31,0.07957291,0,0,0,0.051448207
32,0.06848689,0.016337099,0.04845724,-0.002499291,0.051533863
33,0.014035158,0.21332577,0.2533229,0.001963381,0.06391544
34,0,0.2222789,0.2531884,0,0.06337481
35,0.15380563,0.18086676,0,0,0.084268525
36,0.14774974,0.17392665,0.07278386,-0.10886915,0.07481203
37,0.16229776,0.1569815,0.122695275,-0.10426984,0.03687831
38,0.17225938,0.15840122,0,0,0.024168005
39,0.08798345,0.014901965,0.050331105,-0.002910464,0.050758794
40,0.0983415,0,0,0,0.05056885
41,0.013876203,0.23095623,0.24982098,0.004265925,0.06288975
42,0,0.23977959,0.24766025,0,0.062025517
43,0.15096931,0.1902025,0,0,0.09738876
44,0.14377856,0.18499288,0.040696073,-0.07026541,0.08999277
45,0.17085868,0.14963308,0.15635735,-0.091303855,0.020421706
46,0.18086676,0.15380563,0,0,0.009440151
47,0.106810585,0.014370256,0.055713363,-0.003254489,0.04965021
48,0.11632936,0,0,0,0.049359873
49,0.013889375,0.2484887,0.24270688,0.006033418,0.061233737
50,0,0.25732446,0.23838724,0,0.060166497
51,0.15,0.2,0,0,0.10307365
52,0.14301258,0.19635534,0.019157426,-0.01690097,0.09836691
53,0.1820991,0.14463037,0.1587098,-0.05859413,0.007297522
54,0.1902025,0.15096931,0,0,-3.10099E-05
55,0.12489822,0.014048229,0.062329866,-0.003488526,0.048207164
56,0.13390304,0,0,0,0.04778634
57,0.014023411,0.26610303,0.23181707,0.007118865,0.059202597
58,0,0.2750834,0.22519681,0,0.0580643
59,0.15096931,0.20979749,0,0,0.09828659
60,0.14227934,0.20734726,0.025701169,0.03473326,0.09659128
61,0.19406727,0.1422642,0.13856287,-0.024449378,-7.47959E-05
62,0.2,0.15,0,0,-0.004345346
63,0.14254381,0.01385126,0.069631316,-0.003550124,0.046401918
64,0.15137787,0,0,0,0.04580338
65,0.014165733,0.28395778,0.21690896,0.007471948,0.057072002
66,0,0.2929624,0.20805098,0,0.056005497
67,0.15380563,0.21913323,0,0,0.08514995
68,0.14459594,0.21848728,0.047588166,0.08411458,0.0866426
69,0.2060633,0.14254956,0.10552279,0.000529813,-0.002142574
70,0.20979749,0.15096931,0,0,-0.004752915
71,0.16011475,0.013770336,0.077378884,-0.003362318,0.04421937
72,0.16874602,0,0,0,0.043450467
73,0.014609024,0.30206198,0.19779246,0.007316728,0.055097006
74,0,0.31107363,0.18672726,0,0.05419187
75,0.15840122,0.22774062,0,0,0.06594041
76,0.14931501,0.22881392,0.079170294,0.11505681,0.07047321
77,0.21617894,0.14657867,0.054982316,0.010494939,-0.001735019
78,0.21913323,0.15380563,0,0,-0.001718602
79,0.17760518,0.013724543,0.08462969,-0.002899265,0.041732337
80,0.18610609,0,0,0,0.040805217
81,0.015149156,0.32039198,0.17437421,0.006616387,0.053459212
82,0,0.32985425,0.16041133,0,0.05274375
83,0.16464466,0.23535533,0,0,0.045015156
84,0.1557585,0.23825724,0.11793324,0.12760523,0.051134042
85,0.22631888,0.14875579,0.044554163,0.014070894,0.001495668
86,0.22774062,0.15840122,0,0,0.001376964
87,0.19505286,0.01381729,0.0914205,-0.002201425,0.03905144
88,0.20355475,0,0,0,0.03799201
89,0.015998047,0.33916724,0.14613488,0.005473789,0.05225757
90,0,0.34952903,0.12825157,0,0.051769845
91,0.016424874,0.35832727,0.11283671,0.003618642,0.051546626
92,0,0.36968374,0.09043633,0,0.05129553
93,0.17225938,0.24159877,0,0,0.024848523
94,0.16432948,0.24543156,0.13778086,0.10955843,0.031849686
95,0.23567267,0.15472226,0.0221003,0.009925445,0.004682854
96,0.23535533,0.16464466,0,0,0.005212141
97,0.21239871,0.013909079,0.0964676,-0.001336653,0.036318913
98,0.2209603,0,0,0,0.03517306
99,0.017718995,0.37945655,0.07072998,0.001848564,0.051215325
100,0,0.38984188,0.047683824,0,0.05118594
101,0.013526485,0.39685062,0.031473115,0.000459103,0.051242422
102,0,0.41,0,0,0.05125088
103,0.18086676,0.24619436,0,0,0.009853947
104,0.17382888,0.2521396,0.16217217,0.088708796,0.015821803
105,0.24425057,0.1618859,0.008997101,0.003490019,0.007967058
106,0.24159877,0.17225938,0,0,0.008595738
107,0.22986178,0.013972468,0.099312276,-0.000320832,0.03367548
108,0.23831305,0,0,0,0.032517534
109,0.01991181,0.41,0,0,0.0512828
110,0.1902025,0.2490307,0,0,0.000185532
111,0.1849912,0.25622356,0.15631804,0.053457167,0.004527416
112,0.2508624,0.1712798,0.000911389,-0.002780215,0.010542192
113,0.24619436,0.18086676,0,0,0.011532881
114,0.24729759,0.013987199,0.099725455,0.000558186,0.031270694
115,0.25571686,0,0,0,0.03015459
116,0.030001614,0.39495468,0.03720769,0.000913979,0.051059354
117,0.03982362,0.41,0,0,0.05108431
118,0.19612516,0.25685433,0.117535464,0.017772479,-0.001533469
119,0.2,0.25,0,0,-0.004318169
120,0.25563684,0.18174057,-0.001881499,-0.005139579,0.012670559
121,0.2490307,0.1902025,0,0,0.013605819
122,0.26478466,0.014073631,0.098677844,0.001309393,0.029184388
123,0.27323222,0,0,0,0.028149698
124,0.04961318,0.39437056,0.04155815,0.00166618,0.050769623
125,0.059735432,0.41,0,0,0.050752558
126,0.20979749,0.2490307,0,0,-0.00455368
127,0.20729862,0.25755918,0.10320938,-0.000896026,-0.002439466
128,0.25793165,0.19306304,-0.002171363,-0.0027904,0.013933848
129,0.25,0.2,0,0,0.0144578
130,0.2825172,0.014336581,0.097107716,0.001885777,0.027443921
131,0.29091877,0,0,0,0.026513549
132,0.0692717,0.39414808,0.046579946,0.002280743,0.050257348
133,0.0792844,0.41,0,0,0.050193213
134,0.21913323,0.24619436,0,0,-0.001967059
135,0.21832243,0.25484294,0.06787689,-0.011768548,-0.000795843
136,0.22774062,0.24159877,0,0,0.001843972
137,0.22838289,0.25011095,0.037301514,-0.012301853,0.00219776
138,0.24159877,0.22774062,0,0,0.009010719
139,0.24618936,0.23588663,0.005140604,-0.000638327,0.008789169
140,0.23535533,0.23535533,0,0,0.005550274
141,0.25808924,0.20465365,-0.002300025,0.001911363,0.014103233
142,0.2490307,0.20979749,0,0,0.013828144
143,0.25573024,0.21582857,-0.00238783,0.005126243,0.013122314
144,0.24619436,0.21913323,0,0,0.011838305
145,0.25227726,0.2262339,-0.001096675,0.004503269,0.011331517
146,0.3004233,0.014642339,0.09458818,0.002278118,0.026059361
147,0.3090669,0,0,0,0.025227912
148,0.088307545,0.39468762,0.050615076,0.002714331,0.049526066
149,0.098003834,0.41,0,0,0.049389996
150,0.23816058,0.2441294,0.018581,-0.007763363,0.0057787
151,0.31853142,0.014917826,0.090925165,0.002570534,0.024989832
152,0.32728657,0,0,0,0.024264501
153,0.10680548,0.3951036,0.055739626,0.003091395,0.04852805
154,0.116167806,0.41,0,0,0.048282064
155,0.33675078,0.015131152,0.086387776,0.002644285,0.024205409
156,0.34552225,0,0,0,0.023597207
157,0.124964826,0.39534375,0.06206544,0.003295966,0.047215536
158,0.13426013,0.41,0,0,0.04682795
159,0.35513735,0.015307884,0.08159211,0.002510248,0.023667658
160,0.3641889,0,0,0,0.02316778
161,0.14290895,0.3954512,0.06918757,0.003389533,0.045575492
162,0.15216641,0.41,0,0,0.04501706
163,0.37384894,0.015478139,0.07688768,0.002344923,0.023309736
164,0.38303187,0,0,0,0.022898996
165,0.16079313,0.39552096,0.07645064,0.003228396,0.043605138
166,0.16996333,0.41,0,0,0.04287842
167,0.3927987,0.01563569,0.07241378,0.002135151,0.023077127
168,0.40216398,0,0,0,0.022745304
169,0.17861657,0.39561424,0.083016396,0.002786812,0.04136883
170,0.18775967,0.41,0,0,0.040479947
171,0.41199735,0.015783913,0.0683407,0.001876389,0.02294042
172,0.42143887,0,0,0,0.022672668
173,0.19642241,0.3957479,0.0882074,0.002072761,0.038958713
174,0.20564543,0.41,0,0,0.037940808
175,0.43145728,0.015920876,0.06472558,0.001611617,0.022859745
176,0.44109786,0,0,0,0.022642162
177,0.2142753,0.39581263,0.09214437,0.001311314,0.036492832
178,0.22346944,0.41,0,0,0.035403296
179,0.4511685,0.01604328,0.0615709,0.001362282,0.022808393
180,0.46108538,0,0,0,0.02262731
181,0.23213258,0.3957384,0.09509863,0.000494766,0.034086403
182,0.24125457,0.41,0,0,0.032978363
183,0.4710905,0.016131213,0.058801126,0.001134007,0.022765921
184,0.4810729,0,0,0,0.022609739
185,0.2500749,0.39564666,0.09630837,-0.000352953,0.03184529
186,0.2591104,0.41,0,0,0.030772492
187,0.49105766,0.016159687,0.05632829,0.000924297,0.022717096
188,0.5010604,0,0,0,0.022578618
