,x,y,u (m/s),v (m/s),p (Pa)
0,0.014384495,0.12556933,0.050890528,-0.002705224,0.011116064
1,0,0.13475671,0.052955452,0,0.011232436
2,0,0.11701039,0.048946336,0,0.011029101
3,0.0141945,0.14327203,0.054326348,-0.002438354,0.011309115
4,0,0.15235177,0.05604259,0,0.011428565
5,0.014673135,0.10754361,0.04646231,-0.002675985,0.010930048
6,0,0.09892626,0.043935794,0,0.010846075
7,0.012888297,0.013746568,0.00772864,-7.90741E-05,0.010615732
8,0,0.020158125,0.011219723,0,0.010606776
9,0,0,0,0,0.010619692
10,0.019987524,0,0,0,0.010640669
11,0.014140525,0.16079065,0.056851294,-0.001880978,0.011480135
12,0,0.16985565,0.058236584,0,0.011585247
13,0.014590903,0.030354802,0.016523134,-0.000393926,0.010607107
14,0,0.04031625,0.021279138,0,0.010595296
15,0.015144526,0.050052695,0.025920114,-0.00103707,0.010611488
16,0,0.06047098,0.03017684,0,0.010619537
17,0.015264887,0.06975502,0.034073222,-0.001781252,0.01066717
18,0,0.08014575,0.03774384,0,0.010704941
19,0.014969952,0.08899725,0.04091756,-0.002349635,0.010774013
20,0.039975047,0,0,0,0.010627695
21,0.02986306,0.018219914,0.010596287,-0.00031341,0.010591674
22,0.014132923,0.17830396,0.05853216,-0.001059246,0.011600433
23,0,0.18734443,0.059554953,0,0.011674945
24,0.059962574,0,0,0,0.010594546
25,0.05052991,0.017059596,0.010873759,-0.000570329,0.010561785
26,0.014141102,0.19582012,0.05938931,-7.10446E-05,0.011647995
27,0,0.2047961,0.05999994,0,0.011680786
28,0.15840122,0.17225938,0,0,0.01232993
29,0.15433289,0.16443428,0.014482648,-0.016226185,0.011447134
30,0.16464466,0.16464466,0,0,0.010753231
31,0.07957291,0,0,0,0.010509355
32,0.06848689,0.016337099,0.011736904,-0.000677951,0.010479495
33,0.014035158,0.21332577,0.059435256,0.000938448,0.011612697
34,0,0.2222789,0.05957374,0,0.011600095
35,0.15380563,0.18086676,0,0,0.013664606
36,0.14774974,0.17392665,0.009935701,-0.01473317,0.012721517
37,0.16229776,0.1569815,0.017659893,-0.014432871,0.010055165
38,0.17225938,0.15840122,0,0,0.009094276
39,0.08798345,0.014901965,0.012380279,-0.000782266,0.010365018
40,0.0983415,0,0,0,0.010377596
41,0.013876203,0.23095623,0.058649078,0.001821866,0.011497868
42,0,0.23977959,0.058273,0,0.011444117
43,0.15096931,0.1902025,0,0,0.014542103
44,0.14377856,0.18499288,0.005335725,-0.009162275,0.013702542
45,0.17085868,0.14963308,0.0236729,-0.013098598,0.00862882
46,0.18086676,0.15380563,0,0,0.007651415
47,0.106810585,0.014370256,0.013910376,-0.000871152,0.010186442
48,0.11632936,0,0,0,0.010181353
49,0.013889375,0.2484887,0.057019074,0.002487154,0.011320661
50,0,0.25732446,0.056091115,0,0.011235431
51,0.15,0.2,0,0,0.014918635
52,0.14301258,0.19635534,0.002429356,-0.00172864,0.014292607
53,0.1820991,0.14463037,0.025739837,-0.008506993,0.007242549
54,0.1902025,0.15096931,0,0,0.006436587
55,0.12489822,0.014048229,0.015720017,-0.000910854,0.009944166
56,0.13390304,0,0,0,0.009911411
57,0.014023411,0.26610303,0.05451326,0.002882038,0.011107068
58,0,0.2750834,0.052987482,0,0.011004574
59,0.15096931,0.20979749,0,0,0.014554237
60,0.14227934,0.20734726,0.003455779,0.005518012,0.014082674
61,0.19406727,0.1422642,0.024941545,-0.003207662,0.0060951
62,0.2,0.15,0,0,0.005452982
63,0.14254381,0.01385126,0.017637188,-0.000891392,0.009632943
64,0.15137787,0,0,0,0.009558588
65,0.014165733,0.28395778,0.05106227,0.002972474,0.010887775
66,0,0.2929624,0.04895317,0,0.010783511
67,0.15380563,0.21913323,0,0,0.013606948
68,0.14459594,0.21848728,0.006719893,0.01240714,0.013359803
69,0.2060633,0.14254956,0.02193674,0.001343664,0.005245577
70,0.20979749,0.15096931,0,0,0.004719613
71,0.16011475,0.013770336,0.019558325,-0.000793464,0.009249437
72,0.16874602,0,0,0,0.009131033
73,0.014609024,0.30206198,0.046616558,0.002836406,0.010688821
74,0,0.31107363,0.043935828,0,0.010593078
75,0.15840122,0.22774062,0,0,0.012195629
76,0.14931501,0.22881392,0.011439963,0.016634556,0.012244639
77,0.21617894,0.14657867,0.01406939,0.00358618,0.004626672
78,0.21913323,0.15380563,0,0,0.004224651
79,0.17760518,0.013724543,0.0211916,-0.000608517,0.008808293
80,0.18610609,0,0,0,0.008644672
81,0.015149156,0.32039198,0.041148916,0.002460073,0.010528192
82,0,0.32985425,0.03774384,0,0.010447118
83,0.16464466,0.23535533,0,0,0.010575699
84,0.1557585,0.23825724,0.017298143,0.018411078,0.010826978
85,0.22631888,0.14875579,0.014126095,0.006066266,0.004383688
86,0.22774062,0.15840122,0,0,0.003943827
87,0.19505286,0.01381729,0.022514869,-0.000359408,0.008330838
88,0.20355475,0,0,0,0.008125176
89,0.015998047,0.33916724,0.034531806,0.001909063,0.01041692
90,0,0.34952903,0.03017684,0,0.010363244
91,0.016424874,0.35832727,0.026692063,0.00113995,0.010365881
92,0,0.36968374,0.021279138,0,0.010345253
93,0.17225938,0.24159877,0,0,0.008911708
94,0.16432948,0.24543156,0.020555314,0.015780447,0.009350318
95,0.23567267,0.15472226,0.009962784,0.006510577,0.004212143
96,0.23535533,0.16464466,0,0,0.003875512
97,0.21239871,0.013909079,0.023207473,-7.59961E-05,0.007843575
98,0.2209603,0,0,0,0.007605637
99,0.017718995,0.37945655,0.016699735,0.000473894,0.010356665
100,0,0.38984188,0.011219723,0,0.01035947
101,0.013526485,0.39685062,0.007389356,9.06541E-05,0.010381248
102,0,0.41,0,0,0.010384016
103,0.18086676,0.24619436,0,0,0.007452931
104,0.17382888,0.2521396,0.025327725,0.013017689,0.007904695
105,0.24425057,0.1618859,0.006938018,0.00632483,0.004227982
106,0.24159877,0.17225938,0,0,0.003938183
107,0.22986178,0.013972468,0.02318454,0.000213526,0.007370525
108,0.23831305,0,0,0,0.007118057
109,0.01991181,0.41,0,0,0.010396774
110,0.1902025,0.2490307,0,0,0.006204969
111,0.1849912,0.25622356,0.026066124,0.00786923,0.006616582
112,0.2508624,0.1712798,0.003815388,0.004843569,0.004277628
113,0.24619436,0.18086676,0,0,0.004079394
114,0.24729759,0.013987199,0.022488717,0.000436202,0.006938138
115,0.25571686,0,0,0,0.006685937
116,0.030001614,0.39495468,0.008768421,0.000225113,0.010351702
117,0.03982362,0.41,0,0,0.010378902
118,0.19612516,0.25685433,0.021705514,0.002344223,0.005621694
119,0.2,0.25,0,0,0.005190909
120,0.25563684,0.18174057,0.001819525,0.003132641,0.004385904
121,0.2490307,0.1902025,0,0,0.00420951
122,0.26478466,0.014073631,0.021438353,0.000594415,0.006559932
123,0.27323222,0,0,0,0.006319375
124,0.04961318,0.39437056,0.009927327,0.00045051,0.010315578
125,0.059735432,0.41,0,0,0.010346024
126,0.20979749,0.2490307,0,0,0.004490637
127,0.20729862,0.25755918,0.02190824,-0.001509473,0.00492391
128,0.25793165,0.19306304,0.000737342,0.0013082,0.004435276
129,0.25,0.2,0,0,0.004271806
130,0.2825172,0.014336581,0.020302078,0.000692524,0.006238041
131,0.29091877,0,0,0,0.006016241
132,0.0692717,0.39414808,0.011359313,0.000641734,0.010241649
133,0.0792844,0.41,0,0,0.010273057
134,0.21913323,0.24619436,0,0,0.004057277
135,0.21832243,0.25484294,0.017556421,-0.004460597,0.004430032
136,0.22774062,0.24159877,0,0,0.003860147
137,0.22838289,0.25011095,0.012766296,-0.005777842,0.004165881
138,0.24159877,0.22774062,0,0,0.003941014
139,0.24618936,0.23588663,0.00574282,-0.005463424,0.0041556
140,0.23535533,0.23535533,0,0,0.003835401
141,0.25808924,0.20465365,0.000583192,-0.000401664,0.004445416
142,0.2490307,0.20979749,0,0,0.004232261
143,0.25573024,0.21582857,0.00122054,-0.002034257,0.004365318
144,0.24619436,0.21913323,0,0,0.004094611
145,0.25227726,0.2262339,0.002973149,-0.003880074,0.004275828
146,0.3004233,0.014642339,0.0190388,0.000727339,0.005971696
147,0.3090669,0,0,0,0.005770478
148,0.088307545,0.39468762,0.01260213,0.000770847,0.010129948
149,0.098003834,0.41,0,0,0.010152224
150,0.23816058,0.2441294,0.009424668,-0.006351265,0.004116193
151,0.31853142,0.014917826,0.017668495,0.000721735,0.005752887
152,0.32728657,0,0,0,0.005575272
153,0.10680548,0.3951036,0.014136226,0.000866288,0.00996592
154,0.116167806,0.41,0,0,0.009967149
155,0.33675078,0.015131152,0.016288726,0.000666504,0.005575845
156,0.34552225,0,0,0,0.005423786
157,0.124964826,0.39534375,0.015961692,0.000905023,0.009738964
158,0.13426013,0.41,0,0,0.009710171
159,0.35513735,0.015307884,0.015012777,0.000583043,0.005433111
160,0.3641889,0,0,0,0.005304106
161,0.14290895,0.3954512,0.017936716,0.000897125,0.009447272
162,0.15216641,0.41,0,0,0.009377178
163,0.37384894,0.015478139,0.013887787,0.000502721,0.005314776
164,0.38303187,0,0,0,0.005205462
165,0.16079313,0.39552096,0.019841906,0.000802437,0.009089344
166,0.16996333,0.41,0,0,0.008975111
167,0.3927987,0.01563569,0.012925806,0.00042128,0.005214349
168,0.40216398,0,0,0,0.0051222
169,0.17861657,0.39561424,0.021402493,0.000619841,0.00867958
170,0.18775967,0.41,0,0,0.008519472
171,0.41199735,0.015783913,0.012127809,0.000345864,0.005127686
172,0.42143887,0,0,0,0.005049577
173,0.19642241,0.3957479,0.022416405,0.000369485,0.008236117
174,0.20564543,0.41,0,0,0.00803573
175,0.43145728,0.015920876,0.011477125,0.000279172,0.005050046
176,0.44109786,0,0,0,0.00498315
177,0.2142753,0.39581263,0.02292624,0.000106615,0.007781933
178,0.22346944,0.41,0,0,0.007553141
179,0.4511685,0.01604328,0.010953269,0.000222672,0.004978915
180,0.46108538,0,0,0,0.004920671
181,0.23213258,0.3957384,0.023027718,-0.00014969,0.007339418
182,0.24125457,0.41,0,0,0.007096332
183,0.4710905,0.016131213,0.01052683,0.000175167,0.004912362
184,0.4810729,0,0,0,0.004861115
185,0.2500749,0.39564666,0.022581568,-0.000375368,0.006927743
186,0.2591104,0.41,0,0,0.006684788
187,0.49105766,0.016159687,0.010168759,0.000134922,0.004849114
188,0.5010604,0,0,0,0.004803587
189,0.26804173,0.39562425,0.02158869,-0.000523203,0.00656416
190,0.27712977,0.41,0,0,0.006331223
191,0.51104414,0.016177993,0.009891145,0.00010281,0.004788246
192,0.52104795,0,0,0,0.004747088
193,0.2860513,0.3955278,0.020409511,-0.000607693,0.006253953
194,0.29528534,0.41,0,0,0.00603729
195,0.53103554,0.01618637,0.009676512,7.76931E-05,0.004728888
196,0.5410355,0,0,0,0.004691028
197,0.30426008,0.3953364,0.019178946,-0.000647924,0.005992525
198,0.31354094,0.41,0,0,0.005797029
199,0.5510262,0.016189447,0.009512536,5.83011E-05,0.004670469
200,0.561023,0,0,0,0.004635081
201,0.3226729,0.39506364,0.017982004,-0.000643413,0.005775663
202,0.33212423,0.41,0,0,0.005602683
203,0.5710155,0.016190413,0.009388966,4.33602E-05,0.004612631
204,0.5810105,0,0,0,0.004579085
205,0.34137106,0.39481854,0.016770745,-0.000606694,0.005596388
206,0.35094443,0.41,0,0,0.005445662
207,0.59100384,0.016190737,0.009297071,3.19145E-05,0.004555125
208,0.60099804,0,0,0,0.004522949
209,0.36028722,0.3945902,0.01563102,-0.000550463,0.005447577
210,0.36984465,0.41,0,0,0.005318115
211,0.61099166,0.016190846,0.009229621,2.31771E-05,0.004497794
212,0.62098557,0,0,0,0.004466631
213,0.3794177,0.39440694,0.014578446,-0.000480142,0.005322446
214,0.38906178,0.41,0,0,0.0052121
215,0.6309793,0.016190879,0.009180874,1.65434E-05,0.004440539
216,0.6409731,0,0,0,0.004410118
217,0.39874884,0.39425603,0.013649496,-0.00040873,0.00521601
218,0.4083795,0.41,0,0,0.005121841
219,0.6509669,0.01619089,0.009146323,1.15446E-05,0.004383294
220,0.6609606,0,0,0,0.004353415
221,0.41827378,0.39412346,0.012858499,-0.000340687,0.005122812
222,0.42803934,0.41,0,0,0.005041853
223,0.6709544,0.016190892,0.009122452,7.81361E-06,0.004326024
224,0.68094814,0,0,0,0.004296534
225,0.43795022,0.39402515,0.012183993,-0.000281318,0.005039545
226,0.44779298,0.41,0,0,0.00496917
227,0.69094193,0.016190894,0.009106528,5.06085E-06,0.004268708
228,0.70093566,0,0,0,0.004239494
229,0.45774218,0.39393312,0.011633066,-0.000229921,0.004963278
230,0.4676725,0.41,0,0,0.004901469
231,0.71092945,0.016190894,0.009096446,3.05921E-06,0.004211339
232,0.7209232,0,0,0,0.004182317
233,0.47761706,0.39388895,0.011160662,-0.000185909,0.004892219
234,0.4875843,0.41,0,0,0.004837323
235,0.730917,0.016190894,0.009090586,1.63219E-06,0.004153916
236,0.7409107,0,0,0,0.004125023
237,0.4975217,0.39386463,0.010770695,-0.0001496,0.004824945
238,0.5074961,0.41,0,0,0.004775583
239,0.7509045,0.016190894,0.00908771,6.42532E-07,0.004096443
240,0.76089823,0,0,0,0.004067635
241,0.517438,0.39384913,0.010453751,-0.000120192,0.004760433
242,0.52740794,0.41,0,0,0.004715441
243,0.770892,0.016190894,0.009086879,-1.67844E-08,0.004038927
244,0.78088576,0,0,0,0.004010172
245,0.5373556,0.39384225,0.010195119,-9.66369E-05,0.004697932
246,0.5473197,0.41,0,0,0.004656373
247,0.79087955,0.016190894,0.009087386,-4.28976E-07,0.003981378
248,0.8008733,0,0,0,0.003952654
249,0.55727124,0.39383817,0.009985738,-7.79201E-05,0.004636911
250,0.56723154,0.41,0,0,0.004598038
251,0.8108671,0.016190894,0.009088703,-6.58581E-07,0.003923806
252,0.8208608,0,0,0,0.003895097
253,0.5771847,0.3938359,0.009815865,-6.30504E-05,0.004576991
254,0.58714336,0.41,0,0,0.004540232
255,0.8308546,0.016190894,0.009090444,-7.58515E-07,0.003866221
256,0.8408483,0,0,0,0.003837518
257,0.5970974,0.39383456,0.009677773,-5.12113E-05,0.004517906
258,0.6070552,0.41,0,0,0.004482821
259,0.8508421,0.016190894,0.009092337,-7.68044E-07,0.003808632
260,0.86083585,0,0,0,0.00377993
261,0.61701006,0.39383385,0.009565142,-4.17505E-05,0.004459468
262,0.62696695,0.41,0,0,0.00442572
263,0.87082964,0.016190894,0.009094196,-7.17703E-07,0.003751048
264,0.8808234,0,0,0,0.003722345
265,0.63692236,0.39383355,0.009472969,-3.41565E-05,0.004401542
266,0.6468788,0.41,0,0,0.004368867
267,0.89081717,0.016190894,0.009095899,-6.30043E-07,0.003693477
268,0.9008109,0,0,0,0.003664771
269,0.65683424,0.39383343,0.009397376,-2.80292E-05,0.004344026
270,0.6667906,0.41,0,0,0.004312216
271,0.9108047,0.016190894,0.00909737,-5.21159E-07,0.003635925
272,0.9207984,0,0,0,0.003607217
273,0.67674583,0.3938333,0.009335269,-2.30579E-05,0.00428684
274,0.68670243,0.41,0,0,0.00425573
275,0.9307922,0.016190894,0.00909857,-4.02608E-07,0.003578396
276,0.94078594,0,0,0,0.003549688
277,0.6966573,0.39383322,0.009284101,-1.90049E-05,0.004229917
278,0.7066142,0.41,0,0,0.004199375
279,0.95077974,0.016190894,0.009099482,-2.82726E-07,0.003520896
280,0.96077347,0,0,0,0.003492189
281,0.71656877,0.39383322,0.009241844,-1.56871E-05,0.004173203
282,0.726526,0.41,0,0,0.004143125
283,0.97076726,0.016190894,0.009100108,-1.67403E-07,0.003463426
284,0.980761,0,0,0,0.003434722
285,0.73648053,0.39383328,0.009206892,-1.29597E-05,0.004116655
286,0.74643785,0.41,0,0,0.004086955
287,0.9907548,0.016190894,0.009100464,-6.05903E-08,0.003405989
288,1.0007485,0,0,0,0.00337729
289,0.7563926,0.3938334,0.009177959,-1.07074E-05,0.004060235
290,0.7663497,0.41,0,0,0.004030844
291,1.0107423,0.016190894,0.009100572,3.52767E-08,0.003348587
292,1.0207361,0,0,0,0.003319893
293,0.7763048,0.3938335,0.009154065,-8.83916E-06,0.004003914
294,0.78626144,0.41,0,0,0.003974776
295,1.0307299,0.016190894,0.009100459,1.18914E-07,0.003291219
296,1.0407236,0,0,0,0.003262533
297,0.79621696,0.39383337,0.009134424,-7.28221E-06,0.003947665
298,0.80617326,0.41,0,0,0.003918734
299,1.0507174,0.016190894,0.009100153,1.89884E-07,0.003233885
300,1.0607111,0,0,0,0.003205208
301,0.8161291,0.39383325,0.009118272,-5.98024E-06,0.003891469
302,0.8260851,0.41,0,0,0.003862704
303,1.0707049,0.016190894,0.009099687,2.48352E-07,0.003176586
304,1.0806986,0,0,0,0.003147919
305,0.83604103,0.39383328,0.009104935,-4.88989E-06,0.003835305
306,0.8459969,0.41,0,0,0.003806676
307,1.0906924,0.016190894,0.009099088,2.94895E-07,0.003119319
308,1.1006862,0,0,0,0.003090664
309,0.8559526,0.39383337,0.009093992,-3.97442E-06,0.00377916
310,0.8659087,0.41,0,0,0.003750638
311,1.11068,0.016190894,0.009098385,3.30352E-07,0.003062085
312,1.1206737,0,0,0,0.003033441
313,0.8758641,0.3938334,0.009085151,-3.20257E-06,0.00372302
314,0.8858205,0.41,0,0,0.003694583
315,1.1306674,0.016190894,0.009097603,3.55717E-07,0.003004881
316,1.1406612,0,0,0,0.002976248
317,0.8957757,0.39383346,0.009078017,-2.55242E-06,0.003666874
318,0.90573233,0.41,0,0,0.003638505
319,1.150655,0.016190894,0.009096766,3.72063E-07,0.002947706
320,1.1606487,0,0,0,0.002919085
321,0.91568726,0.3938337,0.009072237,-2.00879E-06,0.003610714
322,0.92564416,0.41,0,0,0.003582396
