,x,y,u (m/s),v (m/s),p (Pa)
0,0.014384495,0.12556933,0.0827071,-0.00365114,0.018847823
1,0,0.13475671,0.08605261,0,0.019066254
2,0,0.11701039,0.079537794,0,0.018663278
3,0.0141945,0.14327203,0.08833547,-0.003300688,0.019243056
4,0,0.15235177,0.09106921,0,0.019456334
5,0.014673135,0.10754361,0.07546577,-0.003620934,0.01846698
6,0,0.09892626,0.071395665,0,0.01829891
7,0.012888297,0.013746568,0.012561301,-0.000131995,0.017764818
8,0,0.020158125,0.01823205,0,0.017755346
9,0,0,0,0,0.017770296
10,0.019987524,0,0,0,0.017797474
11,0.014140525,0.16079065,0.09247654,-0.002570675,0.019596014
12,0,0.16985565,0.09463445,0,0.019771112
13,0.014590903,0.030354802,0.026817089,-0.000603013,0.017758673
14,0,0.04031625,0.0345786,0,0.017755395
15,0.015144526,0.050052695,0.042038,-0.001494131,0.0177888
16,0,0.06047098,0.049037367,0,0.017827552
17,0.015264887,0.06975502,0.055273253,-0.002481996,0.017916556
18,0,0.08014575,0.061333742,0,0.018012024
19,0.014969952,0.08899725,0.06641586,-0.003209499,0.018144755
20,0.039975047,0,0,0,0.017761605
21,0.02986306,0.018219914,0.017168004,-0.00047576,0.017717754
22,0.014132923,0.17830396,0.095237546,-0.001488882,0.019848745
23,0,0.18734443,0.0967768,0,0.019956132
24,0.059962574,0,0,0,0.017687498
25,0.05052991,0.017059596,0.01747925,-0.000847132,0.017652784
26,0.014141102,0.19582012,0.09664582,-0.000187248,0.01995552
27,0,0.2047961,0.09749991,0,0.019977963
28,0.15840122,0.17225938,0,0,0.02100008
29,0.15433289,0.16443428,0.027830549,-0.031454958,0.019120557
30,0.16464466,0.16464466,0,0,0.017379172
31,0.07957291,0,0,0,0.017529782
32,0.06848689,0.016337099,0.01868567,-0.001000382,0.01750443
33,0.014035158,0.21332577,0.09671021,0.001144186,0.019894974
34,0,0.2222789,0.09680732,0,0.0198306
35,0.15380563,0.18086676,0,0,0.024129579
36,0.14774974,0.17392665,0.019307341,-0.028819198,0.022158487
37,0.16229776,0.1569815,0.03346378,-0.027718427,0.015916605
38,0.17225938,0.15840122,0,0,0.013698414
39,0.08798345,0.014901965,0.01952773,-0.00116698,0.017300274
40,0.0983415,0,0,0,0.01729917
41,0.013876203,0.23095623,0.09540222,0.00231584,0.019672858
42,0,0.23977959,0.09469362,0,0.019534165
43,0.15096931,0.1902025,0,0,0.026235335
44,0.14377856,0.18499288,0.010511031,-0.018237365,0.024539333
45,0.17085868,0.14963308,0.043903623,-0.024793163,0.012817876
46,0.18086676,0.15380563,0,0,0.010668831
47,0.106810585,0.014370256,0.021781513,-0.001317099,0.016994242
48,0.11632936,0,0,0,0.016967215
49,0.013889375,0.2484887,0.09271905,0.003205173,0.019323923
50,0,0.25732446,0.09114806,0,0.019132711
51,0.15,0.2,0,0,0.027148182
52,0.14301258,0.19635534,0.004817907,-0.003859294,0.02592595
53,0.1820991,0.14463037,0.046431266,-0.015968116,0.009977317
54,0.1902025,0.15096931,0,0,0.00831256
55,0.12489822,0.014048229,0.02452619,-0.001407254,0.016586088
56,0.13390304,0,0,0,0.016518954
57,0.014023411,0.26610303,0.08860569,0.00373951,0.018900402
58,0,0.2750834,0.08610466,0,0.018685114
59,0.15096931,0.20979749,0,0,0.02632242
60,0.14227934,0.20734726,0.006703144,0.010099649,0.025513586
61,0.19406727,0.1422642,0.04338373,-0.006233661,0.007861711
62,0.2,0.15,0,0,0.00663656
63,0.14254381,0.01385126,0.027522814,-0.00141866,0.016065797
64,0.15137787,0,0,0,0.015937287
65,0.014165733,0.28395778,0.08295441,0.003879609,0.018462397
66,0,0.2929624,0.0795489,0,0.018253192
67,0.15380563,0.21913323,0,0,0.024121841
68,0.14459594,0.21848728,0.012845539,0.023408175,0.023843573
69,0.2060633,0.14254956,0.036489587,0.001622057,0.006532997
70,0.20979749,0.15096931,0,0,0.005601779
71,0.16011475,0.013770336,0.030641355,-0.00131721,0.015425932
72,0.16874602,0,0,0,0.015232896
73,0.014609024,0.30206198,0.07568993,0.003734354,0.018061837
74,0,0.31107363,0.07139572,0,0.017877828
75,0.15840122,0.22774062,0,0,0.020864056
76,0.14931501,0.22881392,0.021704927,0.03157266,0.021218898
77,0.21617894,0.14657867,0.022127125,0.005253507,0.005722917
78,0.21913323,0.15380563,0,0,0.005186527
79,0.17760518,0.013724543,0.03344604,-0.001083165,0.014688739
80,0.18610609,0,0,0,0.014428576
81,0.015149156,0.32039198,0.06677197,0.003284175,0.01773498
82,0,0.32985425,0.061333742,0,0.017584726
83,0.16464466,0.23535533,0,0,0.017196186
84,0.1557585,0.23825724,0.032574378,0.034902077,0.017954312
85,0.22631888,0.14875579,0.021028088,0.008434442,0.005684947
86,0.22774062,0.15840122,0,0,0.005124936
87,0.19505286,0.01381729,0.035899375,-0.000737924,0.013887338
88,0.20355475,0,0,0,0.013563711
89,0.015998047,0.33916724,0.05599917,0.002602703,0.017502392
90,0,0.34952903,0.049037367,0,0.017402876
91,0.016424874,0.35832727,0.043266647,0.00160377,0.017381556
92,0,0.36968374,0.0345786,0,0.017338278
93,0.17225938,0.24159877,0,0,0.013515989
94,0.16432948,0.24543156,0.038329784,0.02979285,0.014617841
95,0.23567267,0.15472226,0.013749636,0.008395891,0.005786828
96,0.23535533,0.16464466,0,0,0.005453577
97,0.21239871,0.013909079,0.03745312,-0.000316245,0.013065038
98,0.2209603,0,0,0,0.012691612
99,0.017718995,0.37945655,0.027086254,0.00071083,0.017339626
100,0,0.38984188,0.01823205,0,0.0173425
101,0.013526485,0.39685062,0.012011375,0.00015045,0.017369973
102,0,0.41,0,0,0.017374413
103,0.18086676,0.24619436,0,0,0.010454464
104,0.17382888,0.2521396,0.046312336,0.024346221,0.01152298
105,0.24425057,0.1618859,0.008766755,0.0073425,0.006177892
106,0.24159877,0.17225938,0,0,0.005939976
